date,dogs_small,dogs_medium,dogs_large,cats,equine_vaccine_visits,puppies,adult_new_animals,resident_adults,quarantine_animals,cleaning_runs,outbreak_alert,feed_kg_consumed,vaccine_doses_used,bleach_liters_used
2026-05-22,35,44,19,17,0,2,3,113,10,6,0,,,
2026-05-23,34,43,19,18,0,0,2,114,7,6,0,,,
2026-05-24,34,43,19,21,0,3,3,114,11,6,0,,,
2026-05-25,34,43,19,20,0,1,3,115,8,6,0,,,
2026-05-26,36,45,20,20,0,3,2,118,12,7,0,,,
2026-05-27,37,46,21,21,0,2,4,123,14,8,0,,,
2026-05-28,36,45,20,22,0,1,2,122,11,7,0,,,
2026-05-29,36,45,20,24,0,2,7,123,14,8,0,,,
2026-05-30,37,46,20,23,0,1,2,125,11,7,0,,,
2026-05-31,37,46,20,25,0,1,4,127,14,8,0,,,
2026-06-01,39,49,22,25,0,2,5,133,12,8,0,,,
2026-06-02,40,51,23,26,0,0,7,140,18,9,0,,,
2026-06-03,41,52,23,27,0,2,2,141,11,8,0,,,
2026-06-04,41,52,23,28,0,3,4,141,13,9,0,,,
2026-06-05,41,52,23,29,0,2,3,143,11,8,0,,,
2026-06-06,42,53,24,30,0,1,4,148,11,8,0,,,
2026-06-07,42,53,24,30,0,0,1,149,10,8,0,,,
2026-06-08,41,52,23,29,0,0,2,145,9,8,0,,,
2026-06-09,40,51,23,32,0,4,5,142,15,9,0,,,
2026-06-10,41,52,24,34,0,2,4,149,14,9,0,,,
2026-06-11,40,50,23,33,0,0,4,146,10,8,0,,,
2026-06-12,41,51,23,33,0,2,2,146,7,8,0,,,
2026-06-13,40,49,22,35,0,0,3,146,10,8,0,,,
2026-06-14,42,51,23,36,0,1,5,151,13,9,0,,,
2026-06-15,42,51,23,37,0,0,3,153,14,10,1,,,
2026-06-16,42,51,23,37,0,0,5,153,15,10,1,,,
2026-06-17,41,50,23,38,0,0,2,152,15,10,1,,,
2026-06-18,42,51,24,39,0,2,5,154,21,11,1,,,
2026-06-19,42,51,24,40,0,1,5,156,16,11,1,,,
2026-06-20,43,52,25,43,0,2,4,161,16,11,1,,,
