date,dogs_small,dogs_medium,dogs_large,cats,equine_vaccine_visits,puppies,adult_new_animals,resident_adults,quarantine_animals,cleaning_runs,outbreak_alert,feed_kg_consumed,vaccine_doses_used,bleach_liters_used
2025-03-28,24,54,28,19,1,2,4,123,12,7,0,32.89,1,14.32
2025-03-29,24,54,28,19,0,0,3,125,12,7,0,33.0,0,12.68
2025-03-30,26,57,29,19,0,0,6,131,13,8,0,35.78,0,14.9
2025-03-31,26,57,29,21,0,1,3,132,12,7,0,34.63,0,12.43
2025-04-01,27,58,30,22,0,2,5,135,14,9,0,35.74,1,16.92
2025-04-02,26,57,30,23,1,0,4,136,11,8,0,34.58,0,14.98
2025-04-03,27,58,31,23,1,2,3,137,11,8,0,34.17,3,14.74
2025-04-04,27,58,31,24,0,1,5,139,9,8,0,35.7,1,16.09
2025-04-05,27,58,31,23,0,0,2,139,9,8,0,35.36,1,14.32
2025-04-06,29,61,33,24,0,1,8,146,18,9,0,38.27,1,18.63
2025-04-07,30,62,34,23,0,1,4,148,10,8,0,38.82,2,13.74
2025-04-08,30,62,34,25,2,1,5,150,11,8,0,39.04,2,14.45
2025-04-09,31,64,35,24,0,0,8,154,18,11,1,41.28,7,24.57
2025-04-10,32,65,36,24,0,0,3,157,16,11,1,43.45,4,25.4
2025-04-11,32,65,36,24,0,0,3,157,15,11,1,39.48,5,25.21
2025-04-12,33,67,37,26,0,2,6,161,19,11,1,42.16,2,25.74
2025-04-13,33,67,37,27,0,1,2,163,18,11,1,43.8,5,25.12
2025-04-14,34,68,38,26,0,3,2,163,15,11,1,46.76,5,24.44
2025-04-15,33,67,38,26,1,0,4,164,19,11,1,44.06,6,25.02
2025-04-16,33,67,38,25,0,1,4,162,14,10,0,44.94,2,19.12
2025-04-17,33,67,38,25,1,2,4,161,14,10,0,43.54,3,18.86
2025-04-18,34,68,39,25,0,2,3,164,10,9,0,45.66,1,16.66
2025-04-19,34,68,39,24,0,0,1,165,7,9,0,43.39,2,17.52
2025-04-20,34,68,39,24,0,0,1,165,6,9,0,42.8,1,15.87
2025-04-21,35,69,40,25,0,1,5,168,14,10,0,43.35,2,18.66
2025-04-22,35,69,40,24,1,1,4,167,17,10,0,45.45,4,19.11
2025-04-23,37,72,41,24,0,1,5,173,12,10,0,48.58,0,18.17
2025-04-24,38,73,41,28,1,2,6,178,15,11,0,45.87,4,21.8
2025-04-25,39,74,42,30,0,1,6,184,12,10,0,50.88,0,17.81
2025-04-26,39,74,42,30,0,2,4,183,10,10,0,46.44,1,18.47
2025-04-27,39,74,42,30,1,0,2,185,7,10,0,48.79,0,18.91
2025-04-28,41,77,43,34,0,4,8,191,16,12,0,52.12,3,20.9
2025-04-29,41,77,43,35,1,2,5,194,12,11,0,50.42,3,19.64
2025-04-30,42,79,44,36,0,1,6,200,10,11,0,53.22,4,20.04
2025-05-01,43,81,45,38,0,1,6,206,13,13,0,55.81,1,22.31
2025-05-02,44,82,45,41,0,3,4,209,14,13,0,54.58,2,23.65
2025-05-03,45,84,46,42,0,4,3,213,11,12,0,52.89,0,20.95
2025-05-04,46,85,46,41,0,0,2,218,9,12,0,56.8,1,22.04
2025-05-05,45,84,45,43,0,0,2,217,7,12,0,58.01,1,21.85
2025-05-06,46,85,45,43,1,1,2,218,12,12,0,57.8,1,20.35
2025-05-07,47,86,45,46,0,0,9,224,20,14,1,51.06,5,30.26
2025-05-08,48,87,46,46,0,4,2,223,19,15,1,56.45,5,32.32
2025-05-09,49,88,46,46,0,2,2,227,16,15,1,54.7,3,32.2
2025-05-10,51,90,47,46,0,3,3,231,16,15,1,58.84,5,31.01
2025-05-11,51,90,47,48,0,0,5,236,11,13,0,56.36,0,23.16
2025-05-12,50,88,46,52,0,1,4,235,12,13,0,57.48,2,23.88
2025-05-13,50,88,46,52,0,1,4,235,8,13,0,57.41,1,22.98
2025-05-14,51,89,46,53,0,0,6,239,14,14,0,56.19,0,25.86
2025-05-15,52,90,46,54,0,2,4,240,15,14,0,62.24,2,26.69
2025-05-16,53,90,46,56,0,1,7,244,16,15,0,61.05,2,28.13
2025-05-17,53,90,46,59,0,2,4,246,17,15,0,58.96,2,28.83
2025-05-18,53,90,46,60,0,1,2,248,10,14,0,60.68,0,24.17
2025-05-19,52,89,46,60,0,2,5,245,15,15,0,58.92,2,27.96
2025-05-20,52,89,46,60,0,0,3,247,9,14,0,54.24,0,24.06
2025-05-21,51,88,45,60,0,1,3,243,12,14,0,56.33,1,26.03
2025-05-22,51,88,45,60,1,1,6,243,14,15,0,57.3,4,26.81
2025-05-23,51,88,45,60,0,0,4,244,13,15,0,64.99,1,28.21
2025-05-24,52,89,45,60,0,1,3,245,11,14,0,60.22,1,24.6
2025-05-25,52,89,45,60,0,1,2,245,7,14,0,56.06,3,25.31
2025-05-26,53,90,46,60,0,1,4,248,11,14,0,58.55,1,26.54
2025-05-27,53,90,46,60,0,2,5,247,14,15,0,60.3,1,28.0
2025-05-28,53,90,46,60,0,0,8,249,12,14,0,53.97,2,24.44
2025-05-29,54,90,46,60,0,3,4,247,15,15,0,64.35,4,26.32
2025-05-30,54,90,46,60,0,0,3,250,12,14,0,57.9,1,24.67
2025-05-31,53,89,45,60,0,0,2,247,8,14,0,59.77,2,24.32
2025-06-01,54,90,46,60,0,2,3,248,9,14,0,63.69,1,25.72
2025-06-02,56,90,47,60,0,2,6,251,14,15,0,62.13,1,27.14
2025-06-03,57,90,48,60,0,0,7,255,15,15,0,54.68,0,27.94
2025-06-04,57,90,48,58,0,0,4,253,17,16,1,62.51,4,31.76
2025-06-05,58,90,49,59,0,2,4,254,16,16,1,59.61,5,32.37
2025-06-06,58,90,49,59,0,1,1,255,18,16,1,62.44,5,36.03
2025-06-07,58,90,49,60,0,0,6,257,21,16,1,62.5,4,33.81
2025-06-08,58,90,49,60,0,2,2,255,17,16,1,62.34,2,33.72
2025-06-09,60,90,51,59,0,0,9,260,21,16,1,57.14,7,34.7
2025-06-10,60,90,51,58,0,2,2,257,20,16,1,57.92,6,35.19
2025-06-11,61,90,51,57,0,3,2,256,10,14,0,59.97,0,25.19
2025-06-12,63,90,52,55,0,0,6,260,13,15,0,62.75,1,28.23
2025-06-13,65,90,53,55,0,1,9,262,13,16,0,62.71,4,29.12
2025-06-14,66,90,54,56,0,2,3,264,11,15,0,61.31,2,25.9
2025-06-15,67,90,54,55,0,0,3,266,10,15,0,66.2,2,25.1
2025-06-16,69,90,55,55,0,1,10,268,18,16,0,60.42,1,30.57
2025-06-17,70,90,55,57,0,3,2,269,11,15,0,61.62,1,26.24
2025-06-18,70,90,55,58,0,2,3,271,12,15,0,65.72,0,25.93
2025-06-19,70,90,55,60,0,1,4,274,14,17,1,61.72,4,34.5
2025-06-20,70,90,55,59,0,2,4,272,17,17,1,64.69,5,35.24
2025-06-21,70,90,55,60,0,1,2,274,16,17,1,69.39,4,36.23
2025-06-22,70,90,55,59,0,0,3,274,15,17,1,65.23,2,35.6
2025-06-23,69,89,55,60,0,2,3,271,13,17,1,67.67,5,36.87
2025-06-24,69,89,55,60,0,2,4,271,17,17,1,61.04,3,35.01
2025-06-25,69,89,55,60,0,1,2,272,14,17,1,61.78,5,34.71
2025-06-26,69,89,55,60,0,1,5,272,17,17,1,62.48,5,34.97
2025-06-27,69,89,55,58,0,1,1,270,9,15,0,65.23,1,25.43
2025-06-28,70,90,55,58,0,1,2,272,8,15,0,64.05,2,26.07
2025-06-29,70,90,55,59,0,2,4,272,10,15,0,62.71,1,25.73
2025-06-30,70,90,55,60,0,4,5,271,16,16,0,69.5,3,27.85
2025-07-01,70,90,55,59,0,1,0,273,7,15,0,65.71,1,26.1
2025-07-02,70,90,55,58,0,1,7,272,17,16,0,63.17,2,29.84
2025-07-03,70,90,55,58,0,1,6,272,12,15,0,66.44,1,27.48
2025-07-04,70,90,55,57,0,0,2,272,10,15,0,64.59,1,27.4
2025-07-05,70,90,55,58,0,2,3,271,12,15,0,59.82,2,26.09
2025-07-06,70,90,55,59,0,0,3,274,11,15,0,64.5,0,26.38
2025-07-07,69,89,54,59,0,0,3,271,12,15,0,64.0,0,26.07
2025-07-08,70,90,54,59,0,2,4,271,11,15,0,63.01,0,26.9
2025-07-09,69,89,54,60,0,2,2,270,10,15,0,63.29,2,26.19
2025-07-10,69,89,54,60,0,1,2,271,7,15,0,67.25,0,26.51
2025-07-11,70,90,55,58,0,1,4,272,12,15,0,66.92,2,26.87
2025-07-12,70,90,55,59,0,1,1,273,10,15,0,62.08,3,27.23
2025-07-13,70,90,55,60,0,1,0,274,8,15,0,63.56,1,26.4
2025-07-14,70,90,55,60,0,0,5,275,11,15,0,68.86,0,27.06
2025-07-15,70,90,55,59,1,0,5,274,12,15,0,67.56,2,25.49
2025-07-16,70,90,55,59,0,0,5,274,9,15,0,59.97,1,26.63
2025-07-17,69,89,55,59,0,1,2,271,10,15,0,67.24,1,27.36
2025-07-18,70,90,55,59,0,2,3,272,10,15,0,66.46,2,27.1
2025-07-19,70,90,55,60,1,0,3,275,10,15,0,66.47,5,26.28
2025-07-20,70,90,55,60,0,2,5,273,12,15,0,63.84,1,27.69
